이름,생년월일,성별,도시
지윤강,1999년 09월 12일 24살,남성,부산 강남구 57로 32
윤서임,1959년 03월 03일 64살,여성,부산 강남구 44로 62
서연박,1961년 12월 03일 62살,여성,부산 강남구 69로 75
정연엄,1998년 06월 11일 25살,여성,부산 강남구 76로 19
지민장,2005년 05월 03일 18살,남성,부산 강남구 83로 96
민준임,1954년 10월 11일 69살,여성,부산 강남구 10로 27
지윤김,1988년 01월 11일 35살,남성,부산 강남구 15로 95
지윤엄,2009년 06월 06일 14살,남성,부산 강남구 9로 75
민준최,1977년 08월 22일 46살,남성,부산 강남구 85로 60
서연장,1988년 10월 06일 35살,여성,부산 강남구 92로 72
서연최,1962년 01월 17일 61살,남성,부산 강남구 13로 26
민지김,1974년 05월 24일 49살,여성,부산 강남구 93로 75
민준이,2021년 11월 28일 2살,여성,부산 강남구 21로 30
예은정,2020년 12월 21일 3살,남성,부산 강남구 12로 2
지효강,1999년 01월 08일 24살,여성,부산 강남구 37로 1
준혁임,1977년 08월 09일 46살,여성,부산 강남구 6로 30
지윤조,2011년 01월 05일 12살,여성,부산 강남구 68로 32
민아김,2014년 03월 17일 9살,여성,부산 강남구 27로 82
민아강,1963년 02월 11일 60살,남성,부산 강남구 5로 100
정연이,2013년 06월 02일 10살,남성,부산 강남구 40로 100
민준윤,1986년 04월 15일 37살,남성,부산 강남구 85로 56
은지이,2002년 03월 18일 21살,여성,부산 강남구 77로 3
지호강,1986년 09월 20일 37살,남성,부산 강남구 3로 19
예은박,1992년 04월 12일 31살,여성,부산 강남구 39로 93
지윤강,2003년 07월 10일 20살,남성,부산 강남구 5로 73
정연정,1950년 06월 26일 73살,남성,부산 강남구 53로 94
민지이,2022년 06월 04일 1살,여성,부산 강남구 70로 85
지호조,2002년 06월 18일 21살,여성,부산 강남구 13로 88
윤서김,2011년 11월 03일 12살,남성,부산 강남구 69로 85
민준박,2021년 07월 18일 2살,여성,부산 강남구 7로 65
지효임,2006년 01월 16일 17살,남성,부산 강남구 31로 57
지호김,2018년 01월 20일 5살,남성,부산 강남구 34로 46
정연박,2015년 06월 24일 8살,여성,부산 강남구 95로 91
준영조,2014년 09월 24일 9살,여성,부산 강남구 91로 61
민아조,1971년 05월 10일 52살,남성,부산 강남구 96로 26
민아김,1958년 06월 18일 65살,여성,부산 강남구 39로 66
